	defect_type	features
0	knot_defect	[0.00019389789667911828, -0.0014076553052291274, 0.002167694503441453, 0.0017861356027424335, 0.05479872226715088, -0.025105277076363564, 0.05892586708068848, 0.03812873736023903, 0.01941767707467079, -0.015015610493719578, 0.027981432154774666, 0.01706944964826107, 0.0014698720769956708, -0.001893022796139121, 0.0023784341756254435, 0.0028693813364952803, 0.001616385648958385, 0.0017790214624255896, 0.01690726913511753, 0.023081228137016296, 0.0852237418293953, -0.08214807510375977, 0.20556849241256714, 0.14323635399341583, 0.37830498814582825, -0.11592166125774384, 0.460790753364563, 0.16612878441810608, 0.03189527615904808, -0.002617369405925274, 0.047417253255844116, 0.009484242647886276, -2.7128486181027256e-05, 0.0003647008561529219, 0.02307586744427681, 0.022511612623929977, 0.13324397802352905, 0.1273840367794037, 0.18436291813850403, 0.21505887806415558, 0.36802709102630615, 0.1715470403432846, 0.43234673142433167, 0.17983239889144897, 0.018286360427737236, -0.006323179230093956, 0.03267187997698784, 0.010762251913547516, 0.00024265509273391217, 0.007616143673658371, 0.002024757442995906, 0.0076328725554049015, 0.034813474863767624, 0.06212014704942703, 0.03547006845474243, 0.06418031454086304, -0.00018951018864754587, 0.0028095401357859373, 0.02209966629743576, 0.014300269074738026, 0.001706840586848557, -0.0008695143624208868, 0.006544281728565693, 0.0035078118089586496]
1	knot_sound	[0.0017123653087764978, -0.0027980308514088392, 0.0017852755263447762, 0.0030419095419347286, 0.06280476599931717, -0.02917621098458767, 0.0629488155245781, 0.03163248300552368, 0.00629339087754488, 0.0021723697427660227, 0.06419125944375992, 0.018906524404883385, 0.0010102801024913788, 0.001662367838434875, 0.0010384469060227275, 0.002689327811822295, -0.010530802421271801, 0.017928212881088257, 0.021782711148262024, 0.052954044193029404, 0.1806780993938446, -0.0690445825457573, 0.19671551883220673, 0.13481882214546204, 0.41149184107780457, -0.0753161758184433, 0.4599810838699341, 0.14016012847423553, 0.005684445612132549, 0.003252338618040085, 0.007843450643122196, 0.023445775732398033, 0.003156391205266118, 0.007232219912111759, 0.01765850931406021, 0.022463886067271233, 0.12032005190849304, 0.07090368866920471, 0.16833378374576569, 0.13696743547916412, 0.4246383309364319, 0.09918458014726639, 0.4355573356151581, 0.12766560912132263, 0.005464246496558189, -0.0022687623277306557, 0.009396311827003956, 0.010816754773259163, -0.0032143699936568737, 0.009202205576002598, 0.0033007620368152857, 0.009303584694862366, 0.0372399166226387, 0.07336042076349258, 0.048595767468214035, 0.07632315903902054, 0.01900765858590603, 0.012304588221013546, 0.02544982358813286, 0.024551771581172943, 0.0005090343183837831, 0.0014032390899956226, 0.0018065887270495296, 0.00285688741132617]
2	knot_sound	[0.0020537793170660734, -0.002094368450343609, 0.002179892733693123, 0.0025964246597141027, 0.06268458813428879, -0.029750341549515724, 0.06275063753128052, 0.030095240101218224, 0.007781975902616978, 0.004001245833933353, 0.05437852069735527, 0.018244698643684387, 0.0014353964943438768, 0.0006386707536876202, 0.001762937754392624, 0.0017104659928008914, 0.034715451300144196, 0.013252460397779942, 0.05470394343137741, 0.04942432790994644, 0.1287982314825058, -0.07902718335390091, 0.1992419958114624, 0.11224695295095444, 0.3824699819087982, -0.08585191518068314, 0.48214998841285706, 0.14990071952342987, 0.024884531274437904, 0.005002317950129509, 0.02706245519220829, 0.027320420369505882, 0.007654997054487467, 0.005459293723106384, 0.012080124579370022, 0.028569906949996948, 0.10175079852342606, 0.07445892691612244, 0.17555375397205353, 0.12559625506401062, 0.4220435321331024, 0.0797039121389389, 0.46566036343574524, 0.12368010729551315, 0.020076001062989235, 0.0014478722587227821, 0.0218258835375309, 0.009245877154171467, -0.0024740048684179783, 0.00684109702706337, 0.0028490773402154446, 0.006842156872153282, 0.052136149257421494, 0.04402698576450348, 0.057734452188014984, 0.0473703071475029, 0.023415327072143555, 0.0244679544121027, 0.027210576459765434, 0.030430765822529793, -0.0005734924925491214, 0.00030459315166808665, 0.0018282668897882104, 0.0026846444234251976]
3	knot_sound	[0.0030763044487684965, 0.00044199012336321175, 0.003375366795808077, 0.002613398479297757, 0.039287224411964417, -0.016189055517315865, 0.040930259972810745, 0.01766383834183216, 0.025704046711325645, -0.002851789118722081, 0.060858551412820816, 0.018643053248524666, 0.0052405232563614845, 0.00021203832875471562, 0.00531848706305027, 0.002240228932350874, 0.046325452625751495, 0.008416417986154556, 0.06192922592163086, 0.03826318681240082, 0.00329916225746274, -0.04691586270928383, 0.10996212065219879, 0.10413794219493866, 0.4383523762226105, -0.09004523605108261, 0.509075403213501, 0.1210622489452362, 0.029250629246234894, 0.004805385135114193, 0.030023634433746338, 0.024668065831065178, 0.005501097068190575, 0.009694129228591919, 0.015652548521757126, 0.030940016731619835, 0.020831961184740067, 0.05721067264676094, 0.11147143691778183, 0.12364935874938965, 0.4316096901893616, 0.08940859138965607, 0.4754554331302643, 0.13453558087348938, 0.03596426174044609, 0.00839934591203928, 0.03667377680540085, 0.010059891268610954, 0.0005745678790844977, 0.0009243797394447029, 0.002162579447031021, 0.00320817856118083, 0.04712662100791931, 0.017609020695090294, 0.0518118292093277, 0.03300343081355095, 0.02486734464764595, 0.00835508108139038, 0.026447510346770287, 0.02324841544032097, 0.0025751758366823196, -0.0005862136604264379, 0.003315454116091132, 0.0024582683108747005]
4	knot_defect	
5	knot_sound	
6	knot_defect	
7	knot_defect	
8	knot_sound	
9	knot_defect	
10	crack	
11	tar	
12	knot_defect	
13	knot_defect	
